location,frequency,text
5,8.166267703969678,Paradise Lost
10,7.842110512667066,Paradise Lost
15,7.842110512667066,Paradise Lost
20,6.5953520845800915,Paradise Lost
25,6.832236185916617,Paradise Lost
30,7.193796130061839,Paradise Lost
35,7.15639337721923,Paradise Lost
40,6.2088569718731295,Paradise Lost
45,6.645222421703571,Paradise Lost
50,5.959505286255735,Paradise Lost
55,7.243666467185318,Paradise Lost
60,6.3958707360861755,Paradise Lost
65,6.969379613006184,Paradise Lost
70,5.872232196289647,Paradise Lost
75,6.919509275882705,Paradise Lost
80,6.420805904647915,Paradise Lost
85,6.645222421703571,Paradise Lost
90,6.869638938759226,Paradise Lost
95,6.308597646120088,Paradise Lost
100,11.133552762816677,Paradise Lost
