location,frequency,text
5,7.555356074207062,Paradise Lost
10,6.882106523040096,Paradise Lost
15,6.919509275882705,Paradise Lost
20,6.109116297626172,Paradise Lost
25,6.370935567524437,Paradise Lost
30,6.358467983243567,Paradise Lost
35,6.483143826052264,Paradise Lost
40,5.647815679233991,Paradise Lost
45,5.9969080390983445,Paradise Lost
50,5.73508876920008,Paradise Lost
55,6.433273488928785,Paradise Lost
60,5.847297027727907,Paradise Lost
65,6.146519050468781,Paradise Lost
70,5.448334330740076,Paradise Lost
75,6.408338320367045,Paradise Lost
80,5.772491522042689,Paradise Lost
85,5.9844404548174746,Paradise Lost
90,6.233792140434869,Paradise Lost
95,5.7974266906044285,Paradise Lost
100,8.689906243766208,Paradise Lost
