location,frequency,text
5,8.541320022185246,Areopagitica
10,7.709373266777593,Areopagitica
15,6.378258458125346,Areopagitica
20,7.04381586245147,Areopagitica
25,6.821963394342762,Areopagitica
30,5.657237936772047,Areopagitica
35,5.990016638935108,Areopagitica
40,6.4891846921797,Areopagitica
45,6.2673322240709926,Areopagitica
50,5.657237936772047,Areopagitica
55,7.04381586245147,Areopagitica
60,6.378258458125346,Areopagitica
65,6.2673322240709926,Areopagitica
70,6.045479755962285,Areopagitica
75,6.045479755962285,Areopagitica
80,7.099278979478647,Areopagitica
85,6.932889628397116,Areopagitica
90,6.156405990016639,Areopagitica
95,6.988352745424293,Areopagitica
100,6.2673322240709926,Areopagitica
