Book,Percentage
1,8.720930232558139
2,18.22429906542056
3,22.4
4,19.457013574660632
5,19.753086419753085
6,24.848484848484848
7,10.884353741496598
8,20.863309352517987
9,17.424242424242426
10,23.636363636363637
11,20.512820512820515
12,22.80701754385965
